Month,diet,gym,finance
2004-01,100,31,48
2004-02,75,26,49
2004-03,67,24,47
2004-04,70,22,48
2004-05,72,22,43
2004-06,64,24,45
2004-07,60,23,44
2004-08,59,28,44
2004-09,53,25,44
2004-10,52,24,45
2004-11,50,23,43
2004-12,42,24,41
2005-01,64,32,44
2005-02,54,28,48
2005-03,56,27,46
2005-04,56,25,44
2005-05,59,24,42
2005-06,53,25,44
2005-07,53,25,44
2005-08,51,28,44
2005-09,47,28,44
2005-10,46,27,43
2005-11,44,25,42
2005-12,40,24,38
2006-01,64,34,44
2006-02,51,29,44
2006-03,51,28,46
2006-04,50,27,47
2006-05,50,26,45
2006-06,52,25,44
2006-07,51,27,42
2006-08,51,30,44
2006-09,45,30,46
2006-10,42,27,45
2006-11,43,26,45
2006-12,37,26,41
2007-01,57,35,46
2007-02,49,33,47
2007-03,51,32,48
2007-04,51,32,48
2007-05,49,32,47
2007-06,47,31,46
2007-07,49,30,50
2007-08,44,31,54
2007-09,46,32,52
2007-10,43,28,52
2007-11,40,27,50
2007-12,34,26,43
2008-01,52,35,53
2008-02,47,30,50
2008-03,46,29,53
2008-04,47,28,52
2008-05,45,27,48
2008-06,43,27,49
2008-07,44,28,52
2008-08,43,31,48
2008-09,42,33,61
2008-10,43,28,73
2008-11,39,28,58
2008-12,38,27,50
2009-01,52,35,54
2009-02,46,30,58
2009-03,48,28,58
2009-04,49,29,57
2009-05,48,28,53
2009-06,47,28,55
2009-07,47,28,57
2009-08,48,30,57
2009-09,44,31,60
2009-10,44,28,57
2009-11,41,27,52
2009-12,39,27,47
2010-01,57,35,51
2010-02,50,31,53
2010-03,51,30,53
2010-04,51,29,56
2010-05,49,28,55
2010-06,47,28,52
2010-07,48,29,50
2010-08,48,31,51
2010-09,48,32,54
2010-10,45,30,51
2010-11,43,28,49
2010-12,39,28,46
2011-01,61,39,51
2011-02,53,34,50
2011-03,54,33,51
2011-04,59,31,49
2011-05,57,31,50
2011-06,52,32,48
2011-07,52,30,48
2011-08,52,34,56
2011-09,50,36,52
2011-10,48,33,50
2011-11,49,33,47
2011-12,44,32,42
2012-01,64,42,44
2012-02,57,37,47
2012-03,57,35,47
2012-04,56,34,45
2012-05,55,33,47
2012-06,52,35,43
2012-07,55,37,44
2012-08,55,37,45
2012-09,51,39,46
2012-10,46,33,45
2012-11,44,32,42
2012-12,42,32,38
2013-01,65,43,46
2013-02,58,37,46
2013-03,59,37,46
2013-04,58,37,47
2013-05,55,36,46
2013-06,55,37,43
2013-07,55,37,46
2013-08,51,39,46
2013-09,52,41,47
2013-10,46,38,47
2013-11,46,37,44
2013-12,42,36,40
2014-01,61,47,46
2014-02,53,44,47
2014-03,54,43,47
2014-04,53,40,46
2014-05,50,39,44
2014-06,49,39,44
2014-07,48,41,45
2014-08,47,40,44
2014-09,46,40,48
2014-10,43,38,47
2014-11,42,37,42
2014-12,38,38,42
2015-01,54,48,46
2015-02,48,43,47
2015-03,51,43,46
2015-04,49,42,46
2015-05,48,41,44
2015-06,48,42,45
2015-07,47,42,46
2015-08,46,43,48
2015-09,43,45,48
2015-10,42,41,46
2015-11,39,42,42
2015-12,38,42,40
2016-01,51,52,44
2016-02,48,46,46
2016-03,48,47,44
2016-04,48,44,43
2016-05,47,46,42
2016-06,44,46,45
2016-07,43,58,41
2016-08,45,53,41
2016-09,43,51,44
2016-10,40,45,41
2016-11,39,44,43
2016-12,36,44,39
2017-01,55,56,43
2017-02,56,51,44
2017-03,50,51,44
2017-04,49,48,42
2017-05,48,48,43
2017-06,48,49,41
2017-07,52,52,43
2017-08,46,52,43
2017-09,44,50,47
2017-10,44,47,45
2017-11,41,47,47
2017-12,39,45,56